Time,ALGORITHM,No Of Nodes,NID,#Tracks,Last Track,Avg Delay,Total Energy Used, Lowest Life Node, Target Moving?,#REF!
Sat Jan 02 09:23:27 CST 2010,DIRL,20,0,1472,9066.212528,0.03133687,391.256483,13:6511.6:24.98595025436822,FALSE,
Using WLU,,,,,,,,,,
Sat Jan 02 09:50:28 CST 2010,DIRL,10,0,1241,8696.210798,0.034850148,180.0981971,4:8100.7:24.999661564741537,TRUE,
Sat Jan 02 09:55:07 CST 2010,DIRL,10,0,1250,7566.210788,0.042251572,179.2155545,4:7700.7:24.993772491347514,TRUE,
Sat Jan 02 10:07:56 CST 2010,DIRL,10,0,1434,8571.207198,0.031205944,143.004374,4:9015.7:24.993293714557666,TRUE,
Sat Jan 02 10:12:09 CST 2010,DIRL,10,0,1458,9441.207198,0.046622929,173.8895369,4:9545.7:24.99546764490314,TRUE,
Sat Jan 02 10:20:47 CST 2010,DIRL,15,0,1722,12311.71076,0.033403635,286.1797021,12:8881.5:24.998782943428594,FALSE,
Sat Jan 02 10:20:49 CST 2010,DIRL,15,0,1929,12386.71056,0.042101132,286.556603,12:8866.5:24.999389321791185,FALSE,
Sat Jan 02 10:32:17 CST 2010,DIRL,20,0,1302,13701.2072,0.032529832,357.8149125,12:10981.5:24.98630026698403,FALSE,
New Simulations,
Sat Jan 02 11:34:51 CST 2010,DIRL,10,0,1530,9506.208065150444,0.05000076204417583,173.04144436226613,3:9535.6:24.987159366338243,true
Sat Jan 02 11:34:51 CST 2010,DIRL,10,0,1450,8536.207929233426,0.042985336064688254,160.777749657989,4:9000.7:24.99068769451746,false
Sat Jan 02 11:35:39 CST 2010,DIFFUSION,10,0,1223,6891.213777768573,0.010820550211427783,193.06241090828675,8:6786.1:24.990095796532664,false
Sat Jan 02 11:40:25 CST 2010,DIFFUSION,10,0,1020,5156.207197999997,0.007601231695735555,186.29075167067046,4:5025.7:24.98002116155371,true
Sat Jan 02 11:56:10 CST 2010,DIRL,15,0,1762,12161.707197999996,0.04215045145562912,297.505753711709,12:8496.5:24.99497982759869,false
Sat Jan 02 11:59:01 CST 2010,DIFFUSION,15,0,971,5605.718336230304,0.034213265946436804,300.68410542388085,8:5581.1:24.984075560396892,false
Sat Jan 02 12:14:33 CST 2010,DIRL,15,0,1667,12481.714323003791,0.03164866948615828,297.991254430236,8:11761.1:24.9946803902023,true
Sat Jan 02 12:25:35 CST 2010,DIRL,25,0,1869,11311.719170136883,0.04591592198089012,500.6539222170319,22:8482.5:24.998284284016982,true
Sat Jan 02 12:28:22 CST 2010,DIRL,25,0,1735,12886.713405533294,0.032717997232852104,508.9136786482555,8:9351.1:24.99919360239738,false
Sat Jan 02 12:35:37 CST 2010,DIFFUSION,15,0,550,2888.721021141723,1.4367381182791532,277.26957879683357,9:2826.2:24.96752414656636,true
Sat Jan 02 12:37:09 CST 2010,DIFFUSION,25,0,695,4659.792710199357,0.14122965076167454,539.234770646284,13:3861.6:24.966814506447125,false
Sat Jan 02 12:43:26 CST 2010,DIFFUSION,25,0,663,4490.871951162369,0.15809615014179174,527.1125650427344,4:3875.7:24.98917237345678,true
Sat Jan 02 13:14:35 CST 2010,DIRL,20,0,1684,10897.210766802418,0.04377863535464623,390.27115446089596,8:10691.1:24.995095662832078,false
Sat Jan 02 13:16:15 CST 2010,DIRL,20,0,1106,11182.20797217176,0.061173130386005733,399.3011031425283,4:10345.7:24.99728101830056,true
Sat Jan 02 13:25:54 CST 2010,DIFFUSION,20,0,768,5183.4095685691755,0.12357880392713692,427.3748963032605,9:4531.2:24.981664968060237,false
Sat Jan 02 14:01:46 CST 2010,DIFFUSION,20,0,391,2062.72051769142,18.004620733043463,392.386865384389,7:1886.0:24.969018689506214,true
Sat Jan 02 14:06:25 CST 2010,DIRL,10,0,1302,9381.206973984583,0.028370237968157463,174.69526435585325,4:9475.7:24.996012315360726,true
Sat Jan 02 14:11:10 CST 2010,DIRL,10,0,1322,8571.214618102907,0.06385881268338729,162.82948477487213,4:9285.7:24.99964877527787,false
Sat Jan 02 14:16:12 CST 2010,DIRL,10,0,1722,11996.211856988117,0.022850520006327295,155.91072703174834,8:8511.1:24.989077328292517,false
Sat Jan 02 14:21:11 CST 2010,DIRL,10,0,1487,8966.210534487434,0.037687742160859884,159.33650968747432,3:9165.6:24.98786902617276,false
Sat Jan 02 14:27:11 CST 2010,DIRL,10,0,1755,11926.2248241365,0.01843531244053293,165.94515068289164,5:8690.8:24.999692659556324,true
Using WLU-no of packets,
Sun Jan 03 09:37:45 CST 2010,DIRL,10,0,1695,11976.21567414123,0.031382666470246526,173.26461296652252,1:11995.4:20.29318512808044,true
Sun Jan 03 09:44:39 CST 2010,DIRL,10,0,1941,10301.207197999996,0.01719019226371495,157.44232213541642,3:10045.6:24.995891964293367,false
Sun Jan 03 09:57:59 CST 2010,DIRL,7,0,1156,7655.907197999997,0.00960336661425713,85.34798277267703,3:9030.6:24.99996299330752,true
Sun Jan 03 09:59:12 CST 2010,DIRL,7,0,1230,7750.91057346257,0.009318251920480356,88.49052550083027,3:8975.6:24.992605469648275,false
Sun Jan 03 10:03:33 CST 2010,DIRL,10,0,1514,11456.21724139432,0.01830356775283975,167.36728138538342,3:11545.6:24.99625538392193,true
Sun Jan 03 10:05:26 CST 2010,DIRL,10,0,1391,7311.205367999998,0.010243896457391438,110.64272019915715,4:9900.7:24.998999001738696,false
Sun Jan 03 10:06:08 CST 2010,DIRL,15,0,1244,10416.705681999998,0.042970378839817296,279.3866252639526,9:10546.2:24.99542205140352,true
Sun Jan 03 10:07:58 CST 2010,DIRL,15,0,1173,10401.710879133705,0.046384622907004465,283.7829647901557,3:9920.6:24.987750530528245,false
Sun Jan 03 10:14:42 CST 2010,DIRL,20,0,1091,10791.208185999996,0.07331074792255916,396.1614693593939,18:9992.1:24.988500744621113,true
Sun Jan 03 10:15:57 CST 2010,DIRL,20,0,1194,9128.212862042315,0.07223427507864251,375.70200826941715,8:9166.1:24.98384920077577,false
Sun Jan 03 10:17:52 CST 2010,DIRL,25,0,968,10061.717148271407,0.07828399832856119,489.82862364072554,3:9710.6:24.991643288883285,true
Sun Jan 03 10:18:25 CST 2010,DIRL,25,0,1014,8777.27265346996,0.0629268227786722,475.42805626033044,9:8796.2:24.998396559949835,false
Sun Jan 03 10:22:11 CST 2010,DIRL,7,0,1164,8120.9119239771935,0.022117234168663315,86.54497818381788,4:9595.7:24.99922245729606,true
Sun Jan 03 10:22:12 CST 2010,DIRL,7,0,1298,7890.905681999998,0.00967724861748264,85.09976140908059,3:9065.6:24.988076891066196,false
Sun Jan 03 10:28:08 CST 2010,DIRL,10,0,1746,11256.209232730964,0.03133304822454826,168.28505689036865,4:8190.7:24.993408368132382,true
Sun Jan 03 10:28:16 CST 2010,DIRL,10,0,1983,10666.207197999996,0.025510646781985585,162.91320147165186,3:8380.6:24.99430833943002,false
Sun Jan 03 10:35:02 CST 2010,DIRL,15,0,1607,10136.707197999996,0.06115765579790519,290.5605991797235,4:10030.7:24.988528877582137,true
Sun Jan 03 10:35:08 CST 2010,DIRL,15,0,1253,9211.71041818641,0.0853362889228208,282.0631946808622,13:8691.6:24.98833410270171,false
Sun Jan 03 10:51:53 CST 2010,DIRL,20,0,1688,10647.21076664909,0.06743708948588509,407.5548532408897,18:9097.1:24.988837578985112,true
Sun Jan 03 10:52:10 CST 2010,DIRL,20,0,1481,8301.21607882395,0.03500484031323907,372.57304764775097,13:8646.6:24.999535584183974,false
Sun Jan 03 11:21:18 CST 2010,DIRL,25,0,1570,12372.715343309814,0.0727777354950465,537.6535459977083,18:9767.1:24.99476251500586,true
Sun Jan 03 11:22:03 CST 2010,DIRL,25,0,1170,10588.212830343724,0.06978083336786264,522.7449964082807,9:8926.2:24.999885351014385,false
Constant density,,,,,,,,,,
Sun Jan 03 11:32:53 CST 2010,DIRL,15,0,1055,7976.7104323036365,0.02467942639147194,161.81245233120697,1:14995.4:15.559954429206618,true
Sun Jan 03 11:33:04 CST 2010,DIRL,15,0,1333,10401.707197999996,0.03520666445707204,221.882427056873,4:9275.7:24.998865983973843,false
Sun Jan 03 12:00:18 CST 2010,DIRL,20,0,1580,11641.215617561305,0.039469596539325046,348.87362188121045,6:8755.9:24.99993005039636,true
Sun Jan 03 12:00:45 CST 2010,DIRL,20,0,1803,11216.311560204407,0.04121398273878616,364.7052535851311,17:8342.0:24.995366992760633,false
Sun Jan 03 14:42:13 CST 2010,DIRL,25,0,1206,9952.71045410646,0.09800223754565697,506.20598715802015,18:9412.1:24.98653119600981,true
Sun Jan 03 14:42:28 CST 2010,DIRL,25,0,1521,9596.727113472914,0.040702138142988585,508.67479279947446,18:7627.1:24.990423756357117,false
Without Sleep task,
Sat Jan 09 11:27:32 CST 2010,DIRL,7,0,1189,6276.412508915883,0.03542564317931562,98.79579185824896,3:7900.6:24.986973883335647,false
Sat Jan 09 11:34:40 CST 2010,DIRL,10,0,1337,7316.220544384519,0.04947706921887125,186.20802598233666,3:7795.6:24.997382742945316,false
Sat Jan 09 11:29:29 CST 2010,DIRL,15,0,1261,6826.717165107974,0.03881530978440214,286.8381852613914,13:7626.6:24.985197639207502,false
Sat Jan 09 11:48:13 CST 2010,DIRL,20,0,1110,7136.214533354181,0.09048182386538015,425.54635027242114,18:7382.1:24.99782294218281,false
Without Reinforcements,
Sat Jan 09 11:45:37 CST 2010,DIRL,7,0,1323,7000.910752746927,0.009682221454653738,78.82408452931674,4:8645.7:24.99986407431051,false
Sat Jan 09 11:46:08 CST 2010,DIRL,10,0,1266,7001.21173703768,0.04746530311888627,117.39384069034075,8:8046.1:24.99907171695445,false
Sat Jan 09 14:16:51 CST 2010,DIRL,15,0,1457,7576.707197999997,0.03129172854520149,180.57000853930228,12:8241.5:24.986107791877398,false
Sat Jan 09 14:20:30 CST 2010,DIRL,20,0,1470,7527.215681464993,0.04064340838076023,247.91221283489259,18:7527.1:24.98348013583205,false

