Time,Algorithm,NID,# Interests, #Data Packets, #Reinforcements, Task1, #Executions, Task2, #Executions, Task3,#Executions,,,,,
Fri Jan 01 12:00:17 CST 2010,DIRL,12,248,155,208,task-10-0,1486,task-Sleep,2189,task-Diffuse,324,0,10291.5,,,
Fri Jan 01 12:00:17 CST 2010,DIRL,13,805,717,180,task-Sleep,2469,task-Diffuse,1530,0,14071.6,,,,,
Fri Jan 01 12:00:17 CST 2010,DIRL,14,828,451,101,task-Sleep,2640,task-Diffuse,1359,0,18776.7,,,,,
Fri Jan 01 12:00:18 CST 2010,DIRL,15,809,677,120,task-Sleep,2579,task-Diffuse,1420,0,17071.8,,,,,
Fri Jan 01 12:00:18 CST 2010,DIRL,16,719,807,156,task-Sleep,2488,task-Diffuse,1511,0,15261.9,,,,,
Fri Jan 01 12:00:18 CST 2010,DIRL,17,734,567,76,task-Sleep,2788,task-Diffuse,1211,1.726031161,null,,,,,
Fri Jan 01 12:00:18 CST 2010,DIRL,18,887,525,126,task-10-0,273,task-Sleep,2436,task-Diffuse,1290,0,14377.1,,,
Fri Jan 01 12:00:26 CST 2010,DIRL,1,509,356,47,task-Sleep,2671,task-Diffuse,1328,0.342775652,null,,,,,
Fri Jan 01 12:00:27 CST 2010,DIRL,2,659,742,140,task-Sleep,2584,task-Diffuse,1415,0,18005.5,,,,,
Fri Jan 01 12:00:27 CST 2010,DIRL,3,684,791,199,task-Sleep,2389,task-Diffuse,1610,0,12035.6,,,,,
Fri Jan 01 12:00:27 CST 2010,DIRL,4,684,880,248,task-Sleep,2401,task-Diffuse,1598,0,12420.7,,,,,
Fri Jan 01 12:00:27 CST 2010,DIRL,5,267,151,124,task-10-0,1060,task-Sleep,2403,task-Diffuse,536,0,14425.8,,,
Fri Jan 01 12:00:27 CST 2010,DIRL,6,336,466,108,task-Sleep,2615,task-Diffuse,1384,0,19510.9,,,,,
Fri Jan 01 12:00:27 CST 2010,DIRL,7,34,112,70,task-10-0,1002,task-Sleep,2507,task-Diffuse,490,0,18261,,,
Fri Jan 01 12:00:27 CST 2010,DIRL,8,324,293,188,task-10-0,1044,task-Sleep,2221,task-Diffuse,734,0,10371.1,,,
Fri Jan 01 12:00:27 CST 2010,DIRL,9,608,723,174,task-Sleep,2355,task-Diffuse,1644,0,11421.2,,,,,
Fri Jan 01 12:00:27 CST 2010,DIRL,10,659,391,62,task-Sleep,2626,task-Diffuse,1373,0,18911.3,,,,,
Fri Jan 01 12:00:27 CST 2010,DIRL,11,509,624,93,task-Sleep,2595,task-Diffuse,1404,0,18816.4,,,,,
Fri Jan 01 12:00:27 CST 2010,DIRL,12,267,339,95,task-10-0,585,task-Sleep,2429,task-Diffuse,985,0,15036.5,,,
Fri Jan 01 12:00:27 CST 2010,DIRL,13,608,721,149,task-Sleep,2396,task-Diffuse,1603,0,12001.6,,,,,
Fri Jan 01 12:00:27 CST 2010,DIRL,14,750,453,103,task-Sleep,2620,task-Diffuse,1379,0,18346.7,,,,,
Fri Jan 01 12:00:27 CST 2010,DIRL,15,737,620,104,task-Sleep,2599,task-Diffuse,1400,0,17911.8,,,,,
Fri Jan 01 12:00:28 CST 2010,DIRL,16,669,280,60,task-Sleep,2536,task-Diffuse,1463,0,16746.9,,,,,
Fri Jan 01 12:00:28 CST 2010,DIRL,17,625,637,117,task-Sleep,2434,task-Diffuse,1565,0,14077,,,,,
Fri Jan 01 12:00:28 CST 2010,DIRL,18,754,515,195,task-10-0,406,task-Sleep,2420,task-Diffuse,1173,0,13237.1,,,
Fri Jan 01 12:09:14 CST 2010,DIFFUSION,1,49,3525,67,0,6735.4,,,,,,,,,
Fri Jan 01 12:09:14 CST 2010,DIFFUSION,2,61,4811,68,0,6455.5,,,,,,,,,
Fri Jan 01 12:09:14 CST 2010,DIFFUSION,3,73,23792,18,0,5390.6,,,,,,,,,
Fri Jan 01 12:09:14 CST 2010,DIFFUSION,4,73,22895,17,0,5350.7,,,,,,,,,
Fri Jan 01 12:09:14 CST 2010,DIFFUSION,5,40,14397,3,0,5925.8,,,,,,,,,
Fri Jan 01 12:09:14 CST 2010,DIFFUSION,6,41,9199,4,0,6580.9,,,,,,,,,
Fri Jan 01 12:09:14 CST 2010,DIFFUSION,7,21,19006,2,0,6741,,,,,,,,,
Fri Jan 01 12:09:14 CST 2010,DIFFUSION,8,48,14652,4,0,5656.1,,,,,,,,,
Fri Jan 01 12:09:14 CST 2010,DIFFUSION,9,73,23797,18,0,5391.2,,,,,,,,,
Fri Jan 01 12:09:14 CST 2010,DIFFUSION,10,61,4638,68,0,6461.3,,,,,,,,,
Fri Jan 01 12:09:14 CST 2010,DIFFUSION,11,49,3582,68,0,6736.4,,,,,,,,,
Fri Jan 01 12:09:14 CST 2010,DIFFUSION,12,40,14898,4,0,5946.5,,,,,,,,,
Fri Jan 01 12:09:14 CST 2010,DIFFUSION,13,73,23602,18,0,5386.6,,,,,,,,,
